title,label
"DNC’s Donna Brazile Dedicated Her Book to ‘Patriot’ Seth Rich, Whose Death Made Her Fear for Her Own Life",FAKE
NPC Luncheon with Eric Holder,REAL
Bill Clinton’s Hitman Confesses On His Deathbed (SOURCE: HANNITY),FAKE
"Romney For President Launches New Television Ad, ""Remember""",REAL
Lisa Page Squeals: DNC Server Was Not Hacked By Russia,FAKE
Interest Group Ratings,REAL
"Michelle Obama: ‘Florida Shooting Is Clearly Trump’s Fault, These Shootings Are Happening Constantly Since He Became Our President.We Must Protect Our Children From This Tyrant”Do You Support Her?’",FAKE
Ohio student suspended for staying in class during National Walkout Day,FAKE
Report on Geithners tax issues,REAL
Court Orders Obama To Pay $400 Million In Restitution,FAKE
"BOOM: Roy Moore Takes The Military Vote, Pulls Ahead By 5K Votes",FAKE
Video Interview with Howard Dean,REAL
Taxable Estates Estate Tax Liability and Average Estate Tax Rate By Size of Gross Estate,REAL
BREAKING! Roy Moore’s Accuser Worked for Democratic Leaders and Is Actively Campaigning for Moore’s Opponent ⋆ Activist Mommy,FAKE
"Bill Clinton on Rush Limbaugh, His Mistakes, the Supreme Court and Middle East Peace",REAL
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",REAL
FDIC: FIL-14-2005: Revised Examination Guidance,REAL
Miss Universe Guayana 2016 arrestada con 2kilos en London Airport😱,FAKE
Did Bernie Sanders vote against background checks and waiting periods for gun purchases?,REAL
"Bill Gates: “I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.”",FAKE
Sen. Gregg: President Obama's Budget Proposal Is a 'Disaster',REAL
'This Week' Transcript: Adm. Mike Mullen,REAL
Popular baby names,REAL
alert to members on abortion coverage in the House health care bill,REAL
Town Hall Meeting in Derry NH,REAL
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",REAL
 Actress Emma Stone ‘For the first time in history we have a president that…,FAKE
China's Space Threat: How Missiles Could Target U.S. Satellites,REAL
US Representatives Promise Implement Of UN Gun-Control Plans,FAKE
Keeping His Word: Lowering the Cost of Medicare Prescriptions,REAL
Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”,FAKE
“Put Palin’s WolfKilling Record on Television”,REAL
"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead",FAKE
CHIP Enrollment: June 2011 Data Snapshot,REAL
Candidate Comparison,REAL
Snoop Dogg Arrested For Conspiracy After Talking About His ‘Murder Trump’ Video,FAKE
Fox News Sunday,REAL
"If Democrats Lose, Blame These Guys",REAL
Political TV Ad Archive » PolAd,REAL
"McCain touts 'Gang of 14,' immigration reform",REAL
Lindsey Graham Threatens To Convert To Democrat If Republicans Don’t Dump Trump – True Trumpers,FAKE
Impeachment Talk Becomes a Cynical Game,REAL
Americas 5 Best Governors,REAL
Tulsa School closes after brutal fire.,FAKE
TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their Presidencies,FAKE
Alabama Secretary of State,FAKE
Trump Removing Marines From the Navy,FAKE
Twelve More Hurricanes Headed Towards US,FAKE
2007 Kaiser/HRET Employer Health Benefits Survey,REAL
"Whoopi Goldberg Humiliated, Handcuffed And Dragged Out Of The TV Studio",FAKE
Who is affected by the government shutdown?,FAKE
"Mom applies a remedy to her baby, moments later he dies. Be careful with this, moms!",FAKE
Health Insurance Coverage in the United States 2015,REAL
Transcripts,REAL
Washington State Legislature votes to change its name because George Washington owned Slaves,FAKE
BREAKING: Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America,FAKE
Remarks by the President in Twitter Town Hall,REAL
Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison,FAKE
BREAKING: Hilary Clinton Filed For Divorce In New York Courts!,FAKE
John McCain for President,REAL
"80% of black men in Atlanta are Homosexuals, study says",FAKE
"In reversal, McCain says lift ban on offshore drilling",REAL
Meet Barack Obama,REAL
当ブログでは福岡県内にある不動産会社についてさまざまな情報をまとめています。福岡市の分譲マンションやマンション経営で頼りになる企業をご紹介！,REAL
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,REAL
"Trump asking Congress, not Mexico, to pay for border wall",REAL
IT BEGINS: California Appoints FIRST Illegal Alien to State Office – Trump Has Better Plan,FAKE
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,REAL
Crime in Chicago: Explore your community,REAL
Donald Trump exaggerates when he says China has 'total control' over North Korea,REAL
American News is under construction,FAKE
Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression,FAKE
DONALD TRUMP PRAISES COLONEL SANDERS FOR HIS SERVICE IN THE CIVIL WAR Manny Schewitz O 2 Days Ago Off the Wire Speaking to Our Intern Dave Robicheaux Who Is Paid in Facebook Likes Trump Insisted Col H,FAKE
"Leonard Lance claims federal tax code contains 4 million words, is 7 times as long as Bible",REAL
Prince William May Not Attend Royal Wedding Leaving Harry Without a Best Man; Princess Diana Would Not Be Happy,FAKE
BREAKING: Laura Ingraham Just Fired!!,FAKE
Romneys ProLife Conversion Myth or Reality June 14,REAL
President Trump Just Saved Christmas For 13 Million Retirees,FAKE
CALIFORNIA DEMOCRAT MAXINE WATERS CHARGED ON 3 COUNTS. DO YOU SUPPORT THIS?,FAKE
JUST IN: John Kerry Facing Prison,FAKE
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",REAL
testimony submitted to the Congressional Oversight Panel’s hearing on the TARPs impact on financial stability,REAL
BOMBSHELL: Internet Sleuths Just Found the SMOKING GUN on Dems Planning Violence in Charlottesville,FAKE
Congressman Allen West : Final Weekly Wrapup,REAL
Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,FAKE
"The pro-Russia, pro-weed, pro-Assange GOP congressman who will be tough to beat",FAKE
Floyd Mayweather Jr. Donates a Whopping Sum of Money to Houston After Hurricane – What You Missed,FAKE
LexisNexis(R) Publisher,REAL
Philando Castile Had Been Stopped 52 Times By Police,REAL
interview with Bloomberg television,REAL
Fox News accidentally puts up a poll graphic that shows how they are the least trusted network,FAKE
"Melania Trump: ‘If ISIS Lay A Finger On Barron, I’ll Scratch Obama’s Eyes Out’",FAKE
Democrat Maxine Waters Has Shown Up To Only 10% Of Congressional Meetings For 35 YEARS,FAKE
Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands,FAKE
THIS ARTICLE RETRACTED: Red Crescent Says No Evidence of Chemical Attack in Syria’s Douma,FAKE
FDA Announced That Vaccines Are Causing Autism,FAKE
"Penniless California issues IOUs to firms, clinics, taxpayers and students",REAL
"McConnell, Webb, Jindal express uncertainty over Iran nuclear deal",REAL
Hillary Clinton Transcript: Building the ‘Growth and Fairness Economy’,REAL
JUST IN: Sarah Palin In A Coma After Hit And Run,FAKE
HillaryClinton.com,REAL
Part 1 of CNN Democratic presidential debate,REAL
Indictment US v Vince McMahon and Titan Sports New Haven Register,REAL
BREAKING: Hillary Clinton Killed In Monster Truck Mishap,FAKE
Transcript: Bob Barr on 'FOX News Sunday',REAL
Debbie Wasserman Schultz Aide Arrested Trying to Flee the Country,FAKE
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",REAL
BREAKING: Fox Sports Cancels ALL NFL Broadcasts ‘Until Players Respect The Flag’,FAKE
The State of Working America 20067 pdf,REAL
"Seattle Police Begin Gun Confiscations: No Laws Broken, No Warrant, No Charges",FAKE
Estonia Might Have The Most Efficient Tax Filing System In The World,REAL
Text of H.R. 3338 (107th): Department of Defense and Emergency Supplemental Appropriations for Recovery from and Response to ... (Passed Congress version),REAL
Charleston Shooter Dylann Roof Moved to Death Row in Terre Haute Federal Prison,FAKE
"'This Week' Transcript: Hoyer, Boehner and Bill Gates",REAL
Oscar Pistorius Attempts To Commit Suicide,FAKE
Already a lost decade: Working-age household income down more than 10% since 2000,REAL
"Peter Strzok, FBI Agent in Texting Scandal, Will Testify Before Congress",FAKE
Harry Reid,REAL
BREAKING: US comedian Kevin Hart in critical condition after gory car crash,FAKE
"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead",FAKE
Republican consultant says Barack Obama promised to halve federal deficit in his first term,REAL
John Hagee Calls For “Prosecuting Women Who Say God’s Name During Intercourse”,FAKE
Remarks on counterterrorism at Stanford University,REAL
Paul Ryan: “Donald Trump Plans To Resign From Office Within The Next 30 Days”,FAKE
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",REAL
Chuck Schumers Steamy Affair With A High School Cheerleader Confirmed,FAKE
LexisNexis(R) Publisher,REAL
You are being redirected...,FAKE
Jeb Bush 2016 Same Resume Right to Rise USA PAC,REAL
"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",REAL
2011 Urban Institute and the Blue Cross Blue Shield of Massachusetts Foundation,REAL
"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",FAKE
"Key Facts: Race, Ethnicity and Medical Care",REAL
BREAKING NEWS: Prince William and Harry donates $100 million to Hurricane Harvey Victims,FAKE
International Energy Statistics,REAL
CONFIRMED ! JUSTICE RUTH BADER GINSBURG IS RESIGNING FROM THE POST OF ASSOCIATE JUSTICE OF THE SUPREME COURT,FAKE
Rubio: “Rape Victims Should Be In Custody If There Is Suspicion That They’re Planning Abortion”,FAKE
Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,REAL
remarks in Philadelphia,REAL
“Put Palin’s WolfKilling Record on Television”,REAL
Iraq pullout could create chaos,REAL
The latest political news and headlines from D.C. and beyond,REAL
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,REAL
BREAKING: Florida Moves For FULL RECOUNT Of State Over Massive Voter Fraud (DETAILS),FAKE
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",REAL
"No, We Can’t? Or Won’t?",REAL
'This Week' Transcript: Rep. Paul Ryan,REAL
"The first Trump-Clinton presidential debate transcript, annotated",REAL
BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,FAKE
Trump Nation,FAKE
PolitiFact’s annotated transcript of the second presidential debate,REAL
UsPostman.com is for sale (Us Postman),FAKE
Transcript of AP interview with Trump,REAL
"The CNN Miami Republican debate transcript, annotated",REAL
"He says universal, but it's no guarantee",REAL
Hillary Clinton Remarks at National Urban League Conference,REAL
BREAKING: FBI Issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap,FAKE
White and Blue Fund ad,REAL
Resource Not Available,REAL
Rockefeller: An Opportunity We Cant Pass Up,REAL
School kids taught to praise Obama,REAL
"Georgia Mosque KEEPS Hurricane Harvey Donations, Will Send To Syrian Refugees Instead",FAKE
9 celebrities who say they'll move to Canada if Donald Trump becomes president,FAKE
McCain Campaigns In Nashville,REAL
Local News Headlines Hawaii,REAL
Sarah Palin on Twitter,REAL
Stop Coddling the Super-Rich,REAL
BREAKING: Rosa Parks’ Daughter Praises Trump’s Response to Charlottesville – forfreedomworld,FAKE
Vets for Trump Facebook page,FAKE
'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,REAL
"PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress",REAL
Watch a replay of Fox News' 5 p.m. presidential debate,REAL
Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book,FAKE
"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway",FAKE
Obama Criticizes McCain on Lobbyists,REAL
Barack Obama’s Remarks in St. Paul,REAL
and Surpluses or Deficits as Percentages of GDP 1930–2015,REAL
Obama knows his way around a ballot -- chicagotribune.com,REAL
What Carly is doing tonight – Carly Fiorina – Medium,REAL
JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS,FAKE
Donald Trump to issue an executive order to ban Facebook across US,FAKE
Computer Models Show IRMA Destroying New York City On Sept. 10,FAKE
"Shields and Gerson on Cabinet Noms, Gun Laws, Boehner's Leadership | PBS NewsHour | Dec. 21, 2012",REAL
"OBAMA CANCELED IT, TRUMP REINSTATED IT – A VERY SACRED DAY IS BACK",FAKE
ABC News: ABC News,REAL
 Friendly Fire … Charlottesville Car attacker is antiTrump Antifa supporter,FAKE
H.R.6060 - 109th Congress (2005-2006): Department of State Authorities Act of 2006,REAL
H.R.1025 - 103rd Congress (1993-1994): Brady Handgun Violence Prevention Act,REAL
Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,FAKE
"Obama Urges Bernanke, Paulson to Fight Foreclosures, Hold Homeownership Summit",REAL
Families Facing Tax Increases Under Trump's Tax Plan,REAL
Lance Armstrong's defiant Twitter photo shows him relaxing with seven yellow jerseys,FAKE
Transcript of Republican Presidential debate at the Ronald Reagan Library in Simi Valley,REAL
Des Moines Register,REAL
Las Vegas campaign rally,REAL
BREAKING: Conservative Icon Ted Nugent Killed In Hunting Accident,FAKE
"Switchboard, from NRDC :: Barbara Finamore's Blog :: China’s Carbon Intensity Target",REAL
"""New Energy"" Ad",REAL
McCain’s Death Bed Secret Just Came Out About Who He Killed After Skeleton Suddenly Resurfaces,FAKE
GDP and the Economy Final Estimates for the Third Quarter of 2007,REAL
A Preliminary Analysis of the President’s Budget and an Update of CBO’s Budget and Economic Outlook,REAL
Text - H.R.2122 - 106th Congress (1999-2000): Mandatory Gun Show Background Check Act,REAL
No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test,REAL
BREAKING: Mike Huckabee Just Fired!,FAKE
“HIV VIRUS” Found In Walmart Bananas After 10 Year Old Boy Agreements The Infection,FAKE
The Fact Hub,REAL
Laguna Beach Antifa 22m David Hogg Didn't Attend Parkland High School I Went to School With Him at Redondo Shores High School in California and He Graduated in 2015 Here He Is in Our Yearbook From 201,FAKE
Bachmann: “White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery”,FAKE
"To young people who are undocumented: This is your country, too.",REAL
2011 Urban InstituteBrookings Institution Tax Policy Center,REAL
Individual Income Tax Returns Publication 1304 (Complete Report),REAL
Melania Trump undergoes kidney surgery at Walter Reed medical center,FAKE
Schneiderman suing Trump over DACA cites 'discriminatory animus',REAL
International Arrest Warrant Issued for George Soros,FAKE
Pastors To Protest IRS Rules on Political Advocacy,REAL
"Emma Gonzalez Bullied School Shooter, Isn’t Sorry; Then Retweets Message Blaming “White Boys’ Entitlement” As Cause Of All School Shootings",FAKE
"Florida Bridge Collapse, Female Company",FAKE
Account Suspended,FAKE
Critical Mention,REAL
Malia Obama Fired From Cushy Internship At Spanish Embassy,FAKE
"Singer Tina Turner: “This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.” Do You Support To Tina ? – American President Donald J. Tru",FAKE
Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief,FAKE
Rand Paul: Republicans 'Aren't Maybe Brave Enough' to Tackle Deficit,REAL
More Czars Than the Romanovs,REAL
BREAKING: President Trump Just Told Paul Ryan ‘You’re Fired’,FAKE
"Saudi Arabia Energy Data, Statistics and Analysis",REAL
"'This Week' Transcript: McKay, Napolitano, Salazar and Allen",REAL
Barack Obama says Mitt Romney condemned coal-fired power plants as killers,REAL
Stephen Bannon: “Nobody Can Blame You For Beating Your Wife If It’s Out Of Love”,FAKE
A Solar Grand Plan: Scientific American,REAL
Neon Nettle,FAKE
"Senator Biden’s Remarks in Springfield, Ill.",REAL
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",REAL
Press release Rep Barton Democrats stimulus will waste money abuse people and lead to unintended consequences,REAL
Strong Words in Ohio as Obama and Clinton Press On,REAL
Cravaack Passes Amendment to Improve US Aviation Security in Opposition to Obamas Planned Disarming of Federal Flight Deck Officers,REAL
BREAKING: Supreme Court Issues Its First Bench Warrant Ever,FAKE
Remarks by the President at CNBC Town Hall Discussion on Jobs,REAL
letter filed on behalf of Sen Barack Obama and the Obama Exploratory Committee,REAL
The Tonight Show with Jay Leno,REAL
"Paul Ryan: “22 Million Americans Choose To Be Poor, So It’s Their Own Problem If They Can’t Afford To Be Healthy”",FAKE
Trump Vows to End Winter Heating Assistance for Elderly and Disabled – Our Voice,FAKE
BREAKING: Clinton Foundation Cargo Ship Raided At Port Of Baltimore Reveals Sick Secret,FAKE
Virginia Republican Wants Schools To Check Children's Genitals Before Using Bathroom,FAKE
Palin-Huey,REAL
Frequently Asked Questions,FAKE
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",REAL
"'This Week' Transcript: Goolsbee, Brown & Corker",REAL
Sanders Supports Gun Safety Bill,REAL
Clinton campaign’s claim that Trump would ‘force schools to allow guns in classrooms’,REAL
Spicer: “Trump Has The Legal Right To Cancel SCOTUS Because They Serve At His Pleasure”,FAKE
BREAKING: Supreme Court Sides With Trump–This Changes Everything!,FAKE
Democratic National Convention,REAL
John McCain for President,REAL
"The hacked emails at the center of Mueller’s Russia investigation, explained",FAKE
Georgia crisis triggers war of words on White House trail,REAL
Statement by the President,REAL
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",REAL
Sale of the Etch A Sketch Brand,REAL
Transcript of Wednesday's presidential debate,REAL
America's Enduring Strength,REAL
Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria,FAKE
BREAKING: Black Hockey Player FIRED After Raising Fist During National Anthem,FAKE
Amendment to to declare English as the national language of the Government of the United States,REAL
About Mayor Bhalla,FAKE
3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs,REAL
U.S. Department of Education Budget History,REAL
Missing Teen-Ager Found in New Jersey,REAL
"President Trump Campaigns Rick Saccone Pennsylvania, Mar 10 2018",REAL
Delta targeted in online free airline ticket scam,FAKE
"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",REAL
Transcripts,REAL
AUTOS: The Dinosaur Hunter,REAL
"Most heroin in U.S. now comes across Mexican border, Rob Portman says",REAL
BREAKING: Santa Fe Killer Confesses His Love For Obama,FAKE
"Democratic debate: Bernie Sanders really isn't as ""socialist"" as President Eisenhower",REAL
Snapchat is shutting down!,FAKE
Public Campaign Action Fund,REAL
FBI RAIDS OBAMA – Find Massive Secret That Was Hidden For YEARS,FAKE
Senate Report Admits Clinton ‘Gifted’ Children To Human Traffickers,FAKE
CPD: 2008 Debate Transcript,REAL
Trump’s DHS Secretary Confirms They Are Preparing To Arrest Sanctuary City Leaders,FAKE
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",REAL
Uniform Crime Reports,REAL
BUSTED: Obama is Holding Secret Meetings to OVERTAKE the White House,FAKE
"Somali Immigrant Crashes Car Into Ohio Families Home, Killing The Infant At Home",FAKE
BREAKING: 3 Liberal Celebrities Arrested For Conspiracy To Assassinate President Trump,FAKE
Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,REAL
"BREAKING: Trump fires Deputy Attorney General Rod Rosenstein, raising questions over Mueller’s fate",FAKE
"Scott Baio, Beloved Face Of Conservatism, Dies In Small Plane Crash On His Way To Visit Trump",FAKE
Peace Through Strength and American Pride vs. “Enemy-Centric” Policy,REAL
Friend of Israel also woos Palestinians Visiting Obama focuses on Israels right to defend itself,REAL
Obama Promises Abortion in Public Plan,REAL
Top Picks (Most Requested Statistics) : U.S. Bureau of Labor Statistics,REAL
2011-2012 Wisconsin Legislature Documents,REAL
U.S. House Committee on Foreign Affairs,REAL
Web Ad A Tale of Two Mitts,REAL
Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State,FAKE
'This Week' Transcript: Gen. Jim Jones (Ret.),REAL
Rep Poe Interviewed on Fox Business Network,REAL
"Department of Homeland Security Appropriations Act, 2007 (2006; 109th Congress H.R. 5441)",REAL
"New York Officials Welcome Immigrants, Legal or Illegal",REAL
Obama’s Prime-Time Press Briefing,REAL
U.S. Army's Involvement in Motorsports,REAL
Topic A: How Can President Obama Regain His Political Footing?,REAL
Obama Demands Investigation into Subprime Loan Discrimination,REAL
How Donald Trump Lost the 'War on Christmas',FAKE
Trump on Revamping the Military: We’re Bringing Back the Draft,FAKE
National Income and Product Accounts Table 175 Relation of Gross Domestic Product,REAL
Reps Cummings and Cole Interviewed on MSNBC,REAL
Pelosi urges minimum-wage hike,REAL
'This Week' Transcript: Hillary Clinton,REAL
'This Week' Transcript: Odierno and Chiarelli,REAL
Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,FAKE
TSA: Frequently Asked Questions,REAL
BREAKING: Trump Caught INVESTING in Dakota Pipeline Before Signing It,FAKE
"BOMBSHELL: COMEY KNEW MURDERED DNC STAFFER, SETH RICH, WAS WIKILEAKS SOURCE & COVERED IT UP FOR HILLARY",FAKE
Delta Force Raids Obama Stronghold in Thailand,FAKE
Obama Criticizes McCain on Lobbyists,REAL
Kerry-McCain: Welcome To Massachusetts!,REAL
Melania Trump Hired Exorcist To ‘Cleanse White House Of Obama Demons’,FAKE
Chinese Lunar Rover Finds No Evidence Of American Moon Landings,FAKE
Testimony on CBO’s Assessment of the Air Force’s Plan to Acquire 100 Boeing Tanker Aircraft,REAL
US Trade in Goods,REAL
Account Suspended,FAKE
First Indictment Issued In Russian Bribery Case Tied To Obama-Era Uranium One Deal,FAKE
112-Year-Old Voters in North Carolina?,FAKE
TRUMP WANTS TO DEPORT AMERICAN INDIANS TO INDIA,FAKE
 Breaking President Trump makes English the official language of the United States,FAKE
Situation Syria Regional Refugee Response,REAL
The numbers don't lie... - Occupy Democrats,FAKE
"""On and On""",REAL
The page you're looking for may have been moved or renamed,REAL
"Ryan's plan includes $700 billion in Medicare ""cuts,"" says Stephanie Cutter",REAL
OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES,FAKE
Nexis®: Sign In,REAL
BREAKING: President Trump Pardons Kim Davis,FAKE
In Obama's Words,REAL
Barrels removed from Clinton property contain parts from 3 missing women.,FAKE
ICE removal key goal of Democrats in 2020 election,FAKE
Florida passes bill legalizing recreational use of marijuana,FAKE
BREAKING: MALIA OBAMA EXPELLED FROM HARVARD,FAKE
Romney CPAC Speech: It's All About the Jobs,REAL
Breaking: Mar-A-Lago Destroyed By Irma-Jared Kushner Still Missing,FAKE
Israel should welcome Rouhani's election victory,REAL
"Last in Queen Elizabeth II's line of corgis dies, says British press",FAKE
McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development,REAL
Fox News Sunday,REAL
flashnewscorner.com,FAKE
Sasse Statement on Trade War,REAL
"Latest World News, Videos & Photos -ABC News - ABC News",REAL
House GOP Introduces Keep Terrorists Out of America Act,REAL
"'This Week' Transcript: Madeleine Albright, Sen. Lindsey Graham, Sen. Kent Conrad and David Cote",REAL
‘Americans need to stand together’: Hillary Clinton’s remarks following the Orlando shooting,REAL
Food Standards and Labeling Policy Book,REAL
Fox News Sandra Smith: “Everybody Could See From The United Airlines Passenger’s Behavior That He Was Not A Genuine American”,FAKE
Remarks by the President at the Associated Press Luncheon,REAL
Melania Just Hit Donald Trump With Shocking Announcement He Never Saw Coming,FAKE
Op-ed by President Obama: President Obama Reflects on the Impact of Title IX,REAL
There’s another choice – Gov. Gary Johnson – Medium,REAL
US Foreign Economic and Military Aid by Major Recipient Country The New York Times,REAL
Rep. Vern Buchanan on Twitter,REAL
"BREAKING: Barron Trump Rushed To The Hospital, Hospital Releases Statement On His Condition",FAKE
Donald Trump Sets Conditions for Defending NATO Allies Against Attack,REAL
25th Amendment,REAL
Writers May Have Pact. Huckabee Crosses Picket Line—Again,REAL
2011 via CQ subscribers only Tax Foundation,REAL
